title,text
Sun newspapers still reporting Harper majority - The Beaverton,"Despite the results being posted two days ago, Sun newspaper outlets have steadfastly denied the existence of a Liberal majority government and have continued to assume Conservative leader Stephen Harper will carry on his mandate as Prime Minister."
90-year-old who has never voted proudly casts first ballot for Social Credit party - The Beaverton,"WINNIPEG – For the first time in his long life, habitual abstainer Jack Pilman will cast a ballot in a Canadian election, throwing his support behind the Social Credit party."
Conservatives unveil last minute attack ad accusing Justin of supporting Kansas City - The Beaverton,"TORONTO – In a last minute gamble for GTA seats, the Conservative Party unveiled a new attack ad over the weekend suggesting Liberal leader Justin Trudeau wanted the Kansas City Royals to defeat the Toronto Blue Jays in the ALCS."
World leaders divided on attending state funeral for Hawaiian pizza inventor - The Beaverton,"LONDON, ON – World leaders are already divided on whether they will be attending the state funeral on Monday for the controversial Canadian man who invented the Hawaiian pizza."
Theresa May forms coalition with Northern Irish Unionists after agreeing to re-invade the rest of Ireland - The Beaverton,LONDON – British Prime Minister Theresa May has secured a coalition government deal with the Democratic Unionist Party of Northern Ireland after promising to re-occupy the Irish Republic.
Jealous Macron angrily refreshing Trudeau-Obama coverage every five seconds - The Beaverton,"PARIS — The so-called “bromance” between former US President Barack Obama and Canadian Justin Trudeau has once again captured the world’s imagination, according to French president Emmanuel Macron, whom staffers say has been angrily refreshing coverage of the encounter every five seconds since yesterday."
"Canadian tourist causes chaos after replying ""I'm good"" to yes or no question - The Beaverton","CAPE TOWN, SA – A Canadian visiting South Africa has caused chaos by giving a polite, yet vague, non-answer to a question asked by a server at a local restaurant."
"Megyn Kelly, NBC to provide “much needed platform” to Holocaust deniers - The Beaverton","NEW YORK — After using the first two episodes of her nationally broadcast, Sunday night news magazine as a soapbox for scrappy underdogs Vladimir Putin and Alex Jones, Megyn Kelly and NBC News announced this week plans to provide a much needed platform for the most marginalized of all American voices, Holocaust deniers."
"Trump pulls out of climate change agreement in hopes climate will cave, give better deal - The Beaverton","WASHINGTON D.C. — President Donald Trump has announced that America will be withdrawing from the Paris Accord on Climate Change, a move which his administration says will force the climate to agree to U.S. terms."
Entire G7 waits for Trump to leave so they can start real summit - The Beaverton,"SICILY – After two days of shuffling blank papers and waving shiny objects, heads of state from G7 countries have begun preparing for the actual summit scheduled to commence after Donald Trump’s Saturday evening departure."
Nepotism in the White House: Jared Kushner now gets to shave the president’s back - The Beaverton,"DISTRICT OF COLUMBIA – In what critics have described as ‘blatant nepotism’, President Trump has empowered son-in-law Jared Kushner to be the person who shaves his back."
Canadians Learn About Gandhi and Serial Killer Gilles de Rais - The Beaverton, 
"September 28, 1972: Paul Henderson's goal causes World War III - The Beaverton",MOSCOW — Team Canada’s Paul Henderson’s game winning goal against the Soviet Union in the Summit Series has unleashed a nuclear apocalypse against the West.
Diefenbaker cancels Arrow program after discovering aircraft lacks cupholder - The Beaverton,WINNIPEG – Prime Minister John Diefenbaker has ordered production of Canada’s most advanced interceptor to cease after noticing the aircraft lacked cup holder capability.
"October 20, 1970: FLQ cell requires Bescherelle to write this week’s ransom note - The Beaverton",MONTREAL – Members of the Front de libération du Québec ‘Liberation Cell’ were forced to use a Bescherelle after struggling with their French grammar writing their weekly ransom note
Concussed Crosby tattoos 'you won the 2017 Stanley Cup' reminder on his torso - The Beaverton,"PITTSBURGH – In the early morning hours after winning his third Stanley Cup while suffering from what is at least his fifth concussion, Penguins captain Sidney Crosby was seen getting a reminder of his accomplishment tattooed on his body."
"Brampton man no longer ""the Tiger Woods of impaired driving"" - The Beaverton","BRAMPTON, ON – After the arrest of golf great Tiger Woods on a DUI charge on Monday, fans and friends of the four-time Masters winner have been dealing with disappointment- but none have been more disappointed than Brampton native Geoff Womack, widely known until this week as “the Tiger Woods of impaired driving”."
Hipster alcoholics excited for return of softball season - The Beaverton,"TORONTO – With the start of community softball, trendy drunks are once again rejoicing at being able to get hammered in public with total immunity."
Blue Jays players warned to not risk injury by trying any more 'baseball stuff' - The Beaverton,"TORONTO – Team Physician Dr. Jason Smith has warned the remaining healthy players on the Toronto Blue Jays not to try any more ‘baseball stuff’, as the risk of injury is too great."
Uber CEO replaced by sleep-deprived foreign student who really needs the cash - The Beaverton,"SAN FRANCISCO – After months of upheaval within the company, Travis Kalanick has stepped down as the CEO of Uber and will be replaced by a tired foreign student who has to pick up a few extra hours if he’s going to make rent this month."
Amazon acquires Whole Foods in bid to corner market on privileged white people - The Beaverton,SEATTLE — Online retailing giant Amazon (TSX: AMZN-Q)  announced this week plans to acquire supermarket chain Whole Foods (TSX: WFM-Q) in what company spokesman Larry Wilson acknowledged is an attempt to corner the global market on upper-middle class white people.
Sears Canada renames itself ‘Bombardier’ so government will bail it out of bankruptcy - The Beaverton,"TORONTO – Sears Canada has renamed itself to ‘Bombardier, Department Store Division’ in an effort to receive billions from the government and stave off declaring bankruptcy."
WestJet realizes it can expand its business by also flying east - The Beaverton,"CALGARY – After twenty-one years in the commercial aircraft industry, WestJet Airlines has finally started offering flights that fly in an eastward direction."
Caveman artist enters mammoth period - The Beaverton,"Chauvet Cave, FRANCE – The Cave art scene was abuzz this week with news that local cave art star Drog has officially dropped horses and entered his Mammoth period."
Old racist thinks racist kids have it too easy these days - The Beaverton,"Chatham, ON – Local pharmacist and long-time white supremacist Alex Robichaud has had it with the Southern Ontario alt-right community, declaring that young racists today have it “way too easy”."
Local dog spends weekend on couch binge-licking - The Beaverton,"KAMLOOPS – This past weekend saw Barkley, a Chocolate Labrador, spend nearly all of his waking hours on the couch, seemingly unable to stop cleaning his genitals with his tongue."
Portraits Of Canadiocity: Sarah Polley - The Beaverton, 
